Tank,Population,Temperature,Selection,Generation ,Week,Age,Weight
2,LTC1,L,C,7,1,55,0.185
2,LTC1,L,C,7,1,55,0.183
2,LTC1,L,C,7,1,55,0.12
2,LTC1,L,C,7,1,55,0.089
2,LTC1,L,C,7,1,55,0.305
2,LTC1,L,C,7,1,55,0.078
2,LTC1,L,C,7,1,55,0.101
2,LTC1,L,C,7,1,55,0.048
2,LTC1,L,C,7,1,55,0.108
2,LTC1,L,C,7,1,55,0.227
2,LTC1,L,C,7,1,55,0.129
2,LTC1,L,C,7,1,55,0.078
2,LTC1,L,C,7,1,55,0.102
2,LTC1,L,C,7,1,55,0.171
2,LTC1,L,C,7,1,55,0.051
2,LTC1,L,C,7,1,55,0.029
2,LTC1,L,C,7,1,55,0.256
2,LTC1,L,C,7,1,55,0.099
2,LTC1,L,C,7,1,55,0.16
2,LTC1,L,C,7,1,55,0.164
2,LTG1,L,G,7,1,55,0.014
2,LTG1,L,G,7,1,55,0.159
2,LTG1,L,G,7,1,55,0.297
2,LTG1,L,G,7,1,55,0.081
2,LTG1,L,G,7,1,55,0.031
2,LTG1,L,G,7,1,55,0.124
2,LTG1,L,G,7,1,55,0.166
2,LTG1,L,G,7,1,55,0.171
2,LTG1,L,G,7,1,55,0.024
2,LTG1,L,G,7,1,55,0.049
2,LTG1,L,G,7,1,55,0.076
2,LTG1,L,G,7,1,55,0.052
2,LTG1,L,G,7,1,55,0.052
2,LTG1,L,G,7,1,55,0.021
2,LTG1,L,G,7,1,55,0.047
2,LTG1,L,G,7,1,55,0.051
2,LTG1,L,G,7,1,55,0.06
2,LTG1,L,G,7,1,55,0.136
2,LTG1,L,G,7,1,55,0.055
2,LTG1,L,G,7,1,55,0.179
2,LTS1,L,S,7,1,55,0.164
2,LTS1,L,S,7,1,55,0.149
2,LTS1,L,S,7,1,55,0.114
2,LTS1,L,S,7,1,55,0.257
2,LTS1,L,S,7,1,55,0.169
2,LTS1,L,S,7,1,55,0.12
2,LTS1,L,S,7,1,55,0.112
2,LTS1,L,S,7,1,55,0.073
2,LTS1,L,S,7,1,55,0.052
2,LTS1,L,S,7,1,55,0.214
2,LTS1,L,S,7,1,55,0.052
2,LTS1,L,S,7,1,55,0.047
2,LTS1,L,S,7,1,55,0.051
2,LTS1,L,S,7,1,55,0.085
2,LTS1,L,S,7,1,55,0.03
2,LTS1,L,S,7,1,55,0.106
2,LTS1,L,S,7,1,55,0.123
2,LTS1,L,S,7,1,55,0.027
2,LTS1,L,S,7,1,55,0.012
2,LTS1,L,S,7,1,55,0.162
4,LTG2,L,G,7,1,55,0.179
4,LTG2,L,G,7,1,55,0.179
4,LTG2,L,G,7,1,55,0.217
4,LTG2,L,G,7,1,55,0.184
4,LTG2,L,G,7,1,55,0.034
4,LTG2,L,G,7,1,55,0.243
4,LTG2,L,G,7,1,55,0.171
4,LTG2,L,G,7,1,55,0.254
4,LTG2,L,G,7,1,55,0.07
4,LTG2,L,G,7,1,55,0.108
4,LTG2,L,G,7,1,55,0.157
4,LTG2,L,G,7,1,55,0.06
4,LTG2,L,G,7,1,55,0.081
4,LTG2,L,G,7,1,55,0.103
4,LTG2,L,G,7,1,55,0.081
4,LTG2,L,G,7,1,55,0.074
4,LTG2,L,G,7,1,55,0.044
4,LTG2,L,G,7,1,55,0.072
4,LTG2,L,G,7,1,55,0.107
4,LTG2,L,G,7,1,55,0.136
4,LTC2,L,C,7,1,55,0.128
4,LTC2,L,C,7,1,55,0.143
4,LTC2,L,C,7,1,55,0.135
4,LTC2,L,C,7,1,55,0.223
4,LTC2,L,C,7,1,55,0.166
4,LTC2,L,C,7,1,55,0.008
4,LTC2,L,C,7,1,55,0.132
4,LTC2,L,C,7,1,55,0.152
4,LTC2,L,C,7,1,55,0.081
4,LTC2,L,C,7,1,55,0.082
4,LTC2,L,C,7,1,55,0.174
4,LTC2,L,C,7,1,55,0.044
4,LTC2,L,C,7,1,55,0.02
4,LTC2,L,C,7,1,55,0.065
4,LTC2,L,C,7,1,55,0.181
4,LTC2,L,C,7,1,55,0.035
4,LTC2,L,C,7,1,55,0.051
4,LTC2,L,C,7,1,55,0.14
4,LTC2,L,C,7,1,55,0.091
4,LTC2,L,C,7,1,55,0.04
4,LTS2,L,S,7,1,55,0.173
4,LTS2,L,S,7,1,55,0.051
