Tank,Population,Temperature,Selection,Generation ,Week,Age,Weight
1,HTC4,H,C,5,1,57,0.124
1,HTC4,H,C,5,1,57,0.148
1,HTC4,H,C,5,1,57,0.139
1,HTC4,H,C,5,1,57,0.607
1,HTC4,H,C,5,1,57,0.249
1,HTC4,H,C,5,1,57,0.354
1,HTC4,H,C,5,1,57,0.173
1,HTC4,H,C,5,1,57,0.407
1,HTC4,H,C,5,1,57,0.151
1,HTC4,H,C,5,1,57,0.21
1,HTC4,H,C,5,1,57,0.136
1,HTC4,H,C,5,1,57,0.196
1,HTC4,H,C,5,1,57,0.228
1,HTC4,H,C,5,1,57,0.111
1,HTC4,H,C,5,1,57,0.413
1,HTC4,H,C,5,1,57,0.15
1,HTC4,H,C,5,1,57,0.178
1,HTC4,H,C,5,1,57,0.231
1,HTC4,H,C,5,1,57,0.222
1,HTC4,H,C,5,1,57,0.173
2,LTC1,L,C,5,1,57,0.108
2,LTC1,L,C,5,1,57,0.069
2,LTC1,L,C,5,1,57,0.238
2,LTC1,L,C,5,1,57,0.278
2,LTC1,L,C,5,1,57,0.287
2,LTC1,L,C,5,1,57,0.154
2,LTC1,L,C,5,1,57,0.098
2,LTC1,L,C,5,1,57,0.316
2,LTC1,L,C,5,1,57,0.166
2,LTC1,L,C,5,1,57,0.156
2,LTC1,L,C,5,1,57,0.058
2,LTC1,L,C,5,1,57,0.062
2,LTC1,L,C,5,1,57,0.092
2,LTC1,L,C,5,1,57,0.21
2,LTC1,L,C,5,1,57,0.224
2,LTC1,L,C,5,1,57,0.047
2,LTC1,L,C,5,1,57,0.112
2,LTC1,L,C,5,1,57,0.106
2,LTC1,L,C,5,1,57,0.117
2,LTC1,L,C,5,1,57,0.141
3,HTC5,H,C,5,1,57,0.24
3,HTC5,H,C,5,1,57,0.368
3,HTC5,H,C,5,1,57,0.632
3,HTC5,H,C,5,1,57,0.167
3,HTC5,H,C,5,1,57,0.283
3,HTC5,H,C,5,1,57,0.515
3,HTC5,H,C,5,1,57,0.28
3,HTC5,H,C,5,1,57,0.365
3,HTC5,H,C,5,1,57,0.354
3,HTC5,H,C,5,1,57,0.168
3,HTC5,H,C,5,1,57,0.122
3,HTC5,H,C,5,1,57,0.21
